81444 images in archive | 200 already done | 81244 to do | 8 workers
1000/81244  ok=1000 fail=0  free=7.2GB
2000/81244  ok=2000 fail=0  free=7.1GB
3000/81244  ok=3000 fail=0  free=7.0GB
4000/81244  ok=4000 fail=0  free=6.9GB
5000/81244  ok=5000 fail=0  free=6.9GB
6000/81244  ok=6000 fail=0  free=6.9GB
7000/81244  ok=7000 fail=0  free=6.8GB
8000/81244  ok=8000 fail=0  free=6.7GB
9000/81244  ok=9000 fail=0  free=6.6GB
10000/81244  ok=10000 fail=0  free=6.5GB
11000/81244  ok=11000 fail=0  free=6.4GB
12000/81244  ok=12000 fail=0  free=6.4GB
13000/81244  ok=13000 fail=0  free=6.4GB
14000/81244  ok=14000 fail=0  free=6.4GB
15000/81244  ok=15000 fail=0  free=6.3GB
16000/81244  ok=16000 fail=0  free=6.3GB
17000/81244  ok=17000 fail=0  free=6.3GB
18000/81244  ok=18000 fail=0  free=6.2GB
19000/81244  ok=19000 fail=0  free=6.2GB
20000/81244  ok=20000 fail=0  free=6.2GB
21000/81244  ok=21000 fail=0  free=6.1GB
22000/81244  ok=22000 fail=0  free=6.1GB
23000/81244  ok=23000 fail=0  free=6.1GB
24000/81244  ok=24000 fail=0  free=6.0GB
25000/81244  ok=25000 fail=0  free=6.0GB
26000/81244  ok=26000 fail=0  free=5.9GB
27000/81244  ok=27000 fail=0  free=5.9GB
28000/81244  ok=28000 fail=0  free=5.9GB
29000/81244  ok=29000 fail=0  free=5.8GB
30000/81244  ok=30000 fail=0  free=5.8GB
31000/81244  ok=31000 fail=0  free=5.7GB
32000/81244  ok=32000 fail=0  free=5.7GB
33000/81244  ok=33000 fail=0  free=5.7GB
34000/81244  ok=34000 fail=0  free=5.6GB
35000/81244  ok=35000 fail=0  free=5.6GB
36000/81244  ok=36000 fail=0  free=5.6GB
37000/81244  ok=37000 fail=0  free=5.5GB
38000/81244  ok=38000 fail=0  free=5.5GB
39000/81244  ok=39000 fail=0  free=5.4GB
40000/81244  ok=40000 fail=0  free=5.4GB
41000/81244  ok=41000 fail=0  free=5.4GB
42000/81244  ok=42000 fail=0  free=5.4GB
43000/81244  ok=43000 fail=0  free=5.3GB
44000/81244  ok=44000 fail=0  free=5.3GB
45000/81244  ok=45000 fail=0  free=5.2GB
46000/81244  ok=46000 fail=0  free=5.2GB
47000/81244  ok=47000 fail=0  free=5.2GB
48000/81244  ok=48000 fail=0  free=5.2GB
49000/81244  ok=49000 fail=0  free=5.1GB
50000/81244  ok=50000 fail=0  free=5.1GB
51000/81244  ok=51000 fail=0  free=5.1GB
52000/81244  ok=52000 fail=0  free=5.0GB
53000/81244  ok=53000 fail=0  free=5.0GB
54000/81244  ok=54000 fail=0  free=4.9GB
55000/81244  ok=55000 fail=0  free=4.9GB
56000/81244  ok=56000 fail=0  free=4.9GB
57000/81244  ok=57000 fail=0  free=4.8GB
58000/81244  ok=58000 fail=0  free=4.8GB
59000/81244  ok=59000 fail=0  free=4.8GB
60000/81244  ok=60000 fail=0  free=4.7GB
61000/81244  ok=61000 fail=0  free=4.7GB
62000/81244  ok=62000 fail=0  free=4.7GB
63000/81244  ok=63000 fail=0  free=4.6GB
64000/81244  ok=64000 fail=0  free=4.6GB
65000/81244  ok=65000 fail=0  free=4.6GB
66000/81244  ok=66000 fail=0  free=4.6GB
67000/81244  ok=67000 fail=0  free=4.5GB
68000/81244  ok=68000 fail=0  free=4.5GB
69000/81244  ok=69000 fail=0  free=4.5GB
70000/81244  ok=70000 fail=0  free=4.4GB
71000/81244  ok=71000 fail=0  free=4.4GB
72000/81244  ok=72000 fail=0  free=4.4GB
73000/81244  ok=73000 fail=0  free=4.3GB
74000/81244  ok=74000 fail=0  free=4.3GB
75000/81244  ok=75000 fail=0  free=4.3GB
76000/81244  ok=76000 fail=0  free=4.2GB
77000/81244  ok=77000 fail=0  free=4.2GB
78000/81244  ok=78000 fail=0  free=4.2GB
79000/81244  ok=79000 fail=0  free=4.2GB
80000/81244  ok=80000 fail=0  free=4.1GB
81000/81244  ok=81000 fail=0  free=4.1GB
DONE ok=81244 fail=0
